,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
33,F29447,5926,E,2.0,2019-09-10 08:11:37,2019-09-10,2019-09-10 00:00:00,2019-09-10,,852.2669999999999,0.0,0.0
34,F29448,6833,E,2.0,2019-09-10 08:25:34,2019-09-10,2019-09-10 00:00:00,2019-09-10,,517.241,0.0,0.0
35,F29449,5926,E,2.0,2019-09-10 08:32:04,2019-09-10,2019-09-10 00:00:00,2019-09-10,,258.62,0.0,0.0
36,F29450,6813,E,2.0,2019-09-10 08:55:27,2019-09-10,2019-09-10 00:00:00,2019-09-10,,2435.4400000000005,0.0,0.0
37,F29451,4029,E,2.0,2019-09-10 12:08:03,2019-09-10,2019-09-10 00:00:00,2019-09-10,,760.57,0.0,0.0
38,F29452,6834,E,2.0,2019-09-10 12:19:51,2019-09-10,2019-09-10 00:00:00,2019-09-10,,919.4560000000001,0.0,0.0
40,F29454,5137,E,2.0,2019-09-10 12:54:46,2019-09-10,2019-09-10 00:00:00,2019-09-10,,1432.83,0.0,0.0
41,F29455,6365,E,2.0,2019-09-10 12:57:22,2019-09-10,2019-09-10 00:00:00,2019-09-10,,366.49100000000004,0.0,0.0
42,F29456,960,C,2.0,2019-09-10 13:08:53,2019-09-10,2019-09-10 00:00:00,2019-09-25,2019-09-10,1059.8700000000001,0.0,0.0
43,F29457,960,C,2.0,2019-09-10 13:14:49,2019-09-10,2019-09-10 00:00:00,2019-09-25,2019-09-10,1059.8700000000001,0.0,0.0
44,F29458,960,E,2.0,2019-09-10 13:58:40,2019-09-10,2019-09-10 00:00:00,2019-09-25,,1059.8700000000001,0.0,0.0
45,F29459,6835,E,3.0,2019-09-10 14:14:13,2019-09-10,2019-09-10 00:00:00,2019-09-10,,3691.7000000000003,0.0,0.0
46,F29460,4631,E,2.0,2019-09-10 14:37:36,2019-09-10,2019-09-10 00:00:00,2019-10-10,,8700.0,1305.0000000000005,0.0
47,F29461,5928,E,2.0,2019-09-10 14:46:22,2019-09-10,2019-09-10 00:00:00,2019-09-25,,360.34400000000005,0.0,0.0
48,F29462,6830,C,2.0,2019-09-10 15:04:34,2019-09-10,2019-09-10 00:00:00,2019-09-10,2019-09-12,7140.540000000001,0.0,0.0
49,F29463,925,C,1.0,2019-09-10 18:12:13,2019-09-10,2019-09-10 00:00:00,2019-11-09,2019-09-12,1800.0000000000002,0.0,0.0
111,F29525,5926,E,2.0,2019-09-17 18:29:51,2019-09-17,2019-09-10 00:00:00,2019-09-17,,227.60000000000002,0.0,0.0
132,F29546,6481,E,2.0,2019-09-19 10:33:44,2019-09-19,2019-09-10 00:00:00,2019-09-19,,1486.9,0.0,0.0
139,F29553,3930,E,4.0,2019-09-19 12:16:04,2019-09-19,2019-09-10 00:00:00,2019-10-19,,48480.00000000001,0.0,0.0
168,F29582,1478,E,1.0,2019-09-20 14:12:12,2019-09-20,2019-09-10 00:00:00,2019-10-20,,4679.0,0.0,0.0
442,F29858,6435,C,6.0,2019-10-10 12:01:24,2019-10-10,2019-09-10 00:00:00,2019-10-10,2019-10-10,301.36106,0.0,0.0
443,F29859,6435,E,6.0,2019-10-10 12:22:38,2019-10-10,2019-09-10 00:00:00,2019-10-10,,301.36106,0.0,0.0
